id_del_portafolio,referencia_del_proceso,entidad,departamento_entidad,ciudad_entidad,modalidad_de_contratacion,tipo_de_contrato,estado_del_procedimiento,precio_base,valor_total_adjudicacion,proveedores_unicos_con,duracion,unidad_de_duracion,fecha_de_publicacion_del,sobrecosto_pesos,ratio_sobrecosto,tiene_sobrecosto,duracion_dias_prevista
CO1.BDOS.8119933,LP-001-2025 (Fase de Selección (Presentación de ofertas)),CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Cundinamarca,Mosquera,Licitación pública Obra Publica,Obra,Seleccionado,23214285703.0,23091157916.0,2,6,Mes(es),2025-06-10,-123127787.0,-0.0053039662118093125,0,180.0
CO1.BDOS.8173882,SAMC-006-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPIO DE ZIPAQUIRA,Cundinamarca,Zipaquirá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,300000000.0,298799977.0,3,4,Mes(es),2025-06-10,-1200023.0,-0.004000076666666666,0,120.0
CO1.BDOS.8075168,SAMC-004-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE PACHO,Cundinamarca,Pacho,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000.0,99977368.0,2,3,Mes(es),2025-06-10,-22632.0,-0.00022632,0,90.0
CO1.BDOS.8128197,SAMC-003-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE LA CALERA CUNDINAMARCA,Cundinamarca,La Calera,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,54572984.0,52970906.0,3,30,día(s),2025-06-09,-1602078.0,-0.02935661352144497,0,30.0
CO1.BDOS.7963957,LP-001-2025 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE PACHO,Cundinamarca,Pacho,Licitación pública Obra Publica,Obra,Seleccionado,4090909090.0,4086596809.0,1,7,Mes(es),2025-06-06,-4312281.0,-0.0010541131335675808,0,210.0
CO1.BDOS.8227765,SMC 021-2025,MUNICIPIO DE GACHANCIPA,Cundinamarca,Gachancipá,Mínima cuantía,Obra,Seleccionado,39800000.0,39786999.0,1,0,día(s),2025-06-06,-13001.0,-0.00032665829145728644,0,0.0
CO1.BDOS.8206670,MC-074-CENACTOLEMAIDA-2025,CENAC TOLEMAIDA,Cundinamarca,Nilo,Mínima cuantía,Obra,Seleccionado,29658083.0,19435146.0,3,20,día(s),2025-06-05,-10222937.0,-0.34469311452125884,0,20.0
CO1.BDOS.8139091,SAMC 003-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDÍA NEMOCON,Cundinamarca,Nemocón,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,361887392.0,361861649.0,1,3,Mes(es),2025-06-04,-25743.0,-7.11353878833115e-05,0,90.0
CO1.BDOS.8103238,SAMC-010-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE VILLAPINZON,Cundinamarca,Villapinzón,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,210000000.0,209993850.0,1,0,día(s),2025-06-04,-6150.0,-2.9285714285714284e-05,0,0.0
CO1.BDOS.8128133,FACATATIVA-SA-007-25 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE FACATATIVA,Cundinamarca,Facatativá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,250000000.0,249625558.0,2,3,Mes(es),2025-06-03,-374442.0,-0.001497768,0,90.0
CO1.BDOS.8052213,SAMC. 003-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE BOJACA,Cundinamarca,Bojacá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,157205000.0,154062234.0,2,2,Mes(es),2025-06-03,-3142766.0,-0.01999151426481346,0,60.0
